timestamp,model_said,user_said,y2,y5,z11,z12,y2_y5_ratio,z11_z12_diff,z11_z12_ratio,y2_diff,y5_diff,z11_diff,z12_diff,y2_moving_avg,y5_moving_avg,z11_moving_avg,z12_moving_avg,y2_normalized,z11_normalized
2026-07-25 11:08:32,Forward,Normal,0.5302664041519165,0.5339401960372925,-1.2299847602844238,-0.6522522568702698,0.9931176093685056,-0.577732503414154,1.8857529936949788,-0.0025186538696289062,-0.003727436065673828,0.0444413423538208,0.05543065071105957,0.5326381921768188,0.5370447635650635,-1.2878000338872273,-0.7164425055185953,0.9931176093685056,1.8857529936949788
2026-07-25 11:10:08,Normal,Normal,0.5287073850631714,0.5329817533493042,-1.1911263465881348,-0.6260344982147217,0.9919784115728584,-0.5650918483734131,1.9026559281330875,-2.5510787963867188e-05,-0.00013005733489990234,0.00795900821685791,0.027551770210266113,0.5280464887619019,0.5323173999786377,-1.190936843554179,-0.6308180888493856,0.9919784115728584,1.9026559281330875
2026-07-25 11:13:48,Normal,Normal,0.5076223611831665,0.5140008926391602,-1.2978476285934448,-0.6429580450057983,0.9875885059036694,-0.6548895835876465,2.018560397890563,-0.00026357173919677734,-0.00019240379333496094,-0.009595155715942383,-0.02055150270462036,0.5051470597585043,0.511215329170227,-1.293044924736023,-0.6214421192804972,0.9875885059036694,2.018560397890563
2026-07-25 11:14:47,Normal,Normal,0.5026544332504272,0.5073850154876709,-1.2826257944107056,-0.631771445274353,0.9906745907596686,-0.6508543491363525,2.030208605047537,-0.003148794174194336,-0.002911090850830078,0.005758881568908691,0.015699267387390137,0.504827618598938,0.5094916423161825,-1.2809998591740925,-0.6271725098292033,0.9906745907596686,2.030208605047537
2026-07-25 11:19:26,Normal,Normal,0.5576497316360474,0.560165286064148,-1.1302767992019653,-0.4432351887226105,0.9955074868111352,-0.6870416104793549,2.5500668223707965,-0.00011181831359863281,0.00036656856536865234,0.010933637619018555,0.04084724187850952,0.5569096406300863,0.5595000187555949,-1.1256336371103923,-0.4593480626742045,0.9955074868111352,2.5500668223707965
2026-07-25 11:20:41,Normal,Normal,0.5688362121582031,0.5726946592330933,-1.2605981826782227,-0.5706439018249512,0.9932609108997641,-0.6899542808532715,2.2090841376397603,-0.0009628534317016602,-0.000777125358581543,0.004239678382873535,-0.041454195976257324,0.5689427057902018,0.5725515286127726,-1.262467861175537,-0.5405656894048055,0.9932609108997641,2.2090841376397603
2026-07-25 11:33:06,Normal,Normal,0.5115749835968018,0.5152349472045898,-1.1455122232437134,-0.4722985029220581,0.9928945881442266,-0.6732137203216553,2.425403937468528,-0.0029169321060180664,-0.002208113670349121,0.0422898530960083,0.057726144790649414,0.512937863667806,0.5162095626195272,-1.1572819550832112,-0.4909145434697469,0.9928945881442266,2.425403937468528
2026-07-25 11:34:06,Forward,Normal,0.40004563331604004,0.4026613235473633,-1.5604013204574585,-0.7561137080192566,0.9935015270158112,-0.8042876124382019,2.0637152423282883,0.002915501594543457,0.0030241012573242188,-0.11543858051300049,-0.09913808107376099,0.39750579992930096,0.4001247485478719,-1.5047950347264607,-0.7199231187502543,0.9935015270158112,2.0637152423282883
2026-07-25 11:36:45,Forward,Normal,0.3969663381576538,0.39931952953338623,-1.411733865737915,-0.49383068084716797,0.9941045070272663,-0.9179031848907471,2.858746487890474,-0.006161928176879883,-0.006103396415710449,0.0025131702423095703,-0.017486095428466797,0.4004882176717122,0.4026515483856201,-1.4250000317891438,-0.5038084785143534,0.9941045070272663,2.858746487890474
2026-07-25 11:36:51,Normal,Normal,0.37619245052337646,0.3776390552520752,-1.4329934120178223,-0.5292760133743286,0.9961667076662923,-0.9037173986434937,2.7074646937930185,0.00262606143951416,0.0022715330123901367,-0.02166128158569336,-0.034416407346725464,0.37458837032318115,0.37616729736328125,-1.421302318572998,-0.5212241510550181,0.9961667076662923,2.7074646937930185
